binary/file;version_rule;version_detected;csv_rule;license;static/emulation;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/bin/busybox;NA;busybox:1.22.1;NA;GPL-2.0-only;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/bin/busybox;NA;gnu:sed:4.0;NA;GPL-3.0-only;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/bin/busybox;NA;udhcp:1.22.1;NA;unknown;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/bin/curl;NA;curl:7.37.0;NA;curl;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/bin/stunnel;NA;openssl:openssl:1.0.1t;NA;OpenSSL OR Apache-2.0;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/bin/stunnel;NA;stunnel:5.21;NA;GPL-2.0-only;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/bin/wscd;NA;openssl:openssl:0.9.8b;NA;OpenSSL OR Apache-2.0;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/libcurl.so.4.3.0;NA;libcurl:7.37.0;NA;curl;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/sbin/xtables-multi;NA;iptables:1.4.21;NA;GPL-2.0-only;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/bin/flash_eraseall;NA;mtd-utils:1.1;NA;unknown;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libcrypto.so.1.0.0;NA;openssl:openssl:1.0.1t;NA;OpenSSL OR Apache-2.0;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libssl.so.1.0.0;NA;openssl:openssl:1.0.1t;NA;OpenSSL OR Apache-2.0;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/elog;NA;elog:1.0.1;NA;unknown;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/openssl;NA;openssl:openssl:1.0.1t;NA;OpenSSL OR Apache-2.0;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/rscam_uvc;NA;realtek_camera_tool:1.11.1;NA;unknown;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/rtmp/crtmpserver;NA;lua:5.1.4;NA;MIT;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/upnp_igd;NA;upnp_controlpoint:1.0;NA;unknown;static;
/bin/busybox;NA;busybox:1.22.1;NA;GPL-2.0-only;emulation;
/bin/curl;NA;curl:7.37.0;NA;curl;emulation;
/bin/stunnel;NA;stunnel:5.21;NA;GPL-2.0-only;emulation;
/mydlink/upnpc-ddns;NA;upnpc-ddns:1.66;NA;unknown;emulation;
/sbin/pppoe-relay;NA;roaring_penguin:pppoe:3.10;NA;GPL-2.0-only;emulation;
/sbin/pppoe-relay;NA;roaring_penguin:pppoe:3.10;NA;unknown;emulation;
/sbin/pppoe-server;NA;roaring_penguin:pppoe:3.10;NA;GPL-2.0-only;emulation;
/sbin/pppoe-sniff;NA;roaring_penguin:pppoe:3.10;NA;GPL-2.0-only;emulation;
/sbin/pppoe;NA;roaring_penguin:pppoe:3.10;NA;GPL-2.0-only;emulation;
/sbin/pppoe;NA;roaring_penguin:pppoe:3.10;NA;unknown;emulation;
/usr/bin/flash_eraseall;NA;mtd-utils:1.1;NA;unknown;emulation;
/usr/bin/iwpriv;NA;wireless_tools:25;NA;unknown;emulation;
/usr/sbin/elog;NA;elog:1.0.1;NA;unknown;emulation;
/usr/sbin/mkdosfs;NA;mkdosfs:3.0.16;NA;GPL-3.0-only;emulation;
/usr/sbin/openssl;NA;openssl:openssl:1.0.1t;NA;OpenSSL OR Apache-2.0;emulation;
/usr/sbin/rscam_uvc;NA;realtek_camera_tool:1.11.1;NA;unknown;emulation;
/usr/sbin/upnp_igd;NA;upnp_controlpoint:1.0;NA;unknown;emulation;
