binary/file;version_rule;version_detected;csv_rule;license;static/emulation;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/bin/busybox;busybox;BusyBox v1.22.1 (2014-12-31 11:42:21 CST);busybox:1.22.1;GPL-2.0-only;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/bin/busybox;busybox;BusyBox v1.22.1 ;busybox:1.22.1;GPL-2.0-only;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/bin/curl;curl;curl 7.37.0;curl:7.37.0;curl;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/elog;elog;event log utility v1.0.1;elog:1.0.1;unknown;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/bin/flash_eraseall;flash_eraseall;flash_eraseall $Revision: 1.1 $;mtd-utils:1.1;unknown;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/sbin/xtables-multi;iptables;1.4.21;iptables:1.4.21;GPL-2.0-only;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/lib/libcurl.so.4.3.0;libcurl;libcurl/7.37.0;libcurl:7.37.0;curl;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/rtmp/crtmpserver;lua;$Lua: Lua 5.1.4 Copyright (C) 1994-2008 Lua.org, PUC-Rio $;lua:5.1.4;MIT;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/openssl;openssl;OpenSSL 1.0.1t ;openssl:openssl:1.0.1t;OpenSSL OR Apache-2.0;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libcrypto.so.1.0.0;openssl;OpenSSL 1.0.1t ;openssl:openssl:1.0.1t;OpenSSL OR Apache-2.0;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libssl.so.1.0.0;openssl;OpenSSL 1.0.1t ;openssl:openssl:1.0.1t;OpenSSL OR Apache-2.0;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/bin/stunnel;openssl;OpenSSL 1.0.1t ;openssl:openssl:1.0.1t;OpenSSL OR Apache-2.0;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/bin/wscd;openssl;part of OpenSSL 0.9.8b-;openssl:openssl:0.9.8b;OpenSSL OR Apache-2.0;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libcrypto.so.1.0.0;openssl;part of OpenSSL 1.0.1t ;openssl:openssl:1.0.1t;OpenSSL OR Apache-2.0;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/lib/libssl.so.1.0.0;openssl;part of OpenSSL 1.0.1t ;openssl:openssl:1.0.1t;OpenSSL OR Apache-2.0;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/rscam_uvc;Realtek_camera_tool;Welcome to Realtek Camera Tool. Version 1.11.1;realtek_camera_tool:1.11.1;unknown;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/bin/busybox;sed;GNU sed version 4.0;gnu:sed:4.0;GPL-3.0-only;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/bin/stunnel;stunnel;stunnel 5.21 on ;stunnel:5.21;GPL-2.0-only;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/bin/busybox;udhcp;udhcp 1.22.1;udhcp:1.22.1;unknown;static;
/logs/firmware/unblob_extracted/firmware_extract/1446946-7513122.squashfs_v4_le_extract/usr/sbin/upnp_igd;upnp_igd;UPnP ControlPoint 1.0 for IGD;upnp_controlpoint:1.0;unknown;static;
