binary/file;version_rule;version_detected;csv_rule;license;static/emulation;
/bin/busybox;busybox;BusyBox v1.22.1 ;busybox:1.22.1;GPL-2.0-only;emulation;
/bin/busybox;busybox;BusyBox v1.22.1 (2014-12-31 11:42:21 CST) multi-call binary;busybox:1.22.1;GPL-2.0-only;emulation;
/bin/busybox;busybox;BusyBox v1.22.1 (2014-12-31 11:42:21 CST);busybox:1.22.1;GPL-2.0-only;emulation;
/bin/curl;curl;curl 7.37.0;curl:7.37.0;curl;emulation;
/usr/sbin/elog;elog;event log utility v1.0.1;elog:1.0.1;unknown;emulation;
/usr/bin/flash_eraseall;flash_eraseall;flash_eraseall $Revision: 1.1 $;mtd-utils:1.1;unknown;emulation;
/usr/bin/iwpriv;iwpriv;iwpriv    Version 25;wireless_tools:25;unknown;emulation;
/usr/sbin/mkdosfs;mkdosfs;mkdosfs 3.0.16 (01 Mar 2013);mkdosfs:3.0.16;GPL-3.0-only;emulation;
/usr/sbin/openssl;openssl;OpenSSL 1.0.1t ;openssl:openssl:1.0.1t;OpenSSL OR Apache-2.0;emulation;
/sbin/pppoe-sniff;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2000 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe-server;rp-pppoe;PPPoE-Server Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;unknown;emulation;
/sbin/pppoe-sniff;rp-pppoe;Roaring Penguin PPPoE Version 3.10;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe-sniff;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe;rp-pppoe;Roaring Penguin PPPoE Version 3.10;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;unknown;emulation;
/sbin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe-sniff;rp-pppoe;Roaring Penguin PPPoE Version 3.10;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;unknown;emulation;
/sbin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2000 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe;rp-pppoe;Roaring Penguin PPPoE Version 3.10;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;unknown;emulation;
/sbin/pppoe-sniff;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2000 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2000 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe-sniff;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/sbin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;GPL-2.0-only;emulation;
/usr/sbin/rscam_uvc;Realtek_camera_tool;Welcome to Realtek Camera Tool. Version 1.11.1;realtek_camera_tool:1.11.1;unknown;emulation;
/bin/stunnel;stunnel;stunnel 5.21 on ;stunnel:5.21;GPL-2.0-only;emulation;
