binary;function;function count;common linux file;networking;
/sbin/pppoe (-rwxr-xr-x root root);fprintf;18;true;yes;
/sbin/pppoe-server (-rwxr-xr-x root root);fprintf;16;true;yes;
/sbin/xtables-multi (-rwxr-xr-x root root);fprintf;82;true;yes;
/sbin/iwcontrol (-rwxr-xr-x root root);fprintf;46;false;no;
/sbin/pppoe-relay (-rwxr-xr-x root root);fprintf;14;true;yes;
/sbin/reboot (-rwxr-xr-x root root);system;1;true;no;
/sbin/pppoe-sniff (-rwxr-xr-x root root);fprintf;14;true;yes;
/usr/sbin/netmgr (-rwxr-xr-x root root);fprintf;3;false;no;
/usr/sbin/fw_upgrade (-rwxr-xr-x root root);fprintf;21;false;no;
/sbin/pppoe (-rwxr-xr-x root root);printf;14;true;yes;
/sbin/pppoe-server (-rwxr-xr-x root root);printf;2;true;yes;
/sbin/iwcontrol (-rwxr-xr-x root root);printf;64;false;no;
/sbin/xtables-multi (-rwxr-xr-x root root);printf;1247;true;yes;
/sbin/pppoe-relay (-rwxr-xr-x root root);sprintf;5;true;yes;
/sbin/pppoe-sniff (-rwxr-xr-x root root);printf;1;true;yes;
/usr/sbin/hnap_push_service (-rwxr-xr-x root root);fprintf;103;false;no;
/usr/sbin/netmgr (-rwxr-xr-x root root);printf;13;false;no;
/usr/sbin/fw_upgrade (-rwxr-xr-x root root);sprintf;1;false;no;
/sbin/pppoe (-rwxr-xr-x root root);sprintf;5;true;yes;
/sbin/pppoe-server (-rwxr-xr-x root root);sprintf;6;true;yes;
/sbin/iwcontrol (-rwxr-xr-x root root);sprintf;32;false;no;
/sbin/pppoe-relay (-rwxr-xr-x root root);strcpy;4;true;yes;
/sbin/xtables-multi (-rwxr-xr-x root root);sprintf;6;true;yes;
/sbin/pppoe-sniff (-rwxr-xr-x root root);sprintf;5;true;yes;
/usr/sbin/netmgr (-rwxr-xr-x root root);sprintf;2;false;no;
/usr/sbin/hnap_push_service (-rwxr-xr-x root root);printf;3;false;no;
/sbin/pppoe (-rwxr-xr-x root root);strcpy;3;true;yes;
/usr/sbin/fw_upgrade (-rwxr-xr-x root root);system;4;false;no;
/sbin/pppoe-server (-rwxr-xr-x root root);strcpy;4;true;yes;
/sbin/iwcontrol (-rwxr-xr-x root root);strcpy;8;false;no;
/sbin/xtables-multi (-rwxr-xr-x root root);strcat;16;true;yes;
/sbin/pppoe-sniff (-rwxr-xr-x root root);strcpy;3;true;yes;
/usr/sbin/makeDevUid (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/netmgr (-rwxr-xr-x root root);strcpy;1;false;no;
