Script path;Shell issues detected;common linux file;shellcheck/semgrep;
/bin/ipcalc.sh (-rwxrwxr-x root root);2;no;NA;
/bin/board_detect (-rwxrwxr-x root root);4;no;NA;
/bin/config_generate (-rwxrwxr-x root root);8;no;NA;
/etc/hotplug.d/bridge/02-alter-wanif (-rw-rw-r-- root root);12;no;NA;
/etc/hotplug.d/bridge/01-vlanstate (-rw-rw-r-- root root);41;no;NA;
/etc/hotplug.d/firewall/10-nat-reflection (-rw-r--r-- root root);8;no;NA;
/etc/hotplug.d/firewall/50-improxy (-rw-r--r-- root root);6;no;NA;
/etc/hotplug.d/firewall/65-domain_login (-rw-r--r-- root root);4;no;NA;
/etc/hotplug.d/iface/01-ipv6 (-rwxrwxr-x root root);20;no;NA;
/etc/hotplug.d/iface/07-Internet_detection (-rwxrwxr-x root root);2;no;NA;
/etc/hotplug.d/iface/15-hyd (-rwxr-xr-x root root);11;no;NA;
/etc/hotplug.d/iface/20-firewall (-rw-r--r-- root root);1;no;NA;
/etc/hotplug.d/iface/20-nat (-rw-r--r-- root root);1;no;NA;
/etc/hotplug.d/iface/21-basic_security (-rw-r--r-- root root);2;no;NA;
/etc/hotplug.d/iface/25-ddns (-rwxrwxr-x root root);4;no;NA;
/etc/hotplug.d/iface/25-dnsproxy (-rw-rw-r-- root root);1;no;NA;
/etc/hotplug.d/iface/50-improxy (-rw-r--r-- root root);1;no;NA;
/etc/hotplug.d/iface/50-miniupnpd (-rw-r--r-- root root);4;no;NA;
/etc/hotplug.d/iface/60-dnsmasq (-rwxr-xr-x root root);6;no;NA;
/etc/hotplug.d/iface/80-tcpmss (-rwxrwxr-x root root);5;no;NA;
/etc/hotplug.d/iface/03-lanv6 (-rwxr-xr-x root root);262;no;NA;
/etc/hotplug.d/iface/98-cloud-brd (-rwxrwxr-x root root);6;no;NA;
/etc/hotplug.d/iface/98-sysntpd (-rwxrwxr-x root root);6;no;NA;
/etc/hotplug.d/iface/99-qos (-rwxr-xr-x root root);1;no;NA;
/etc/hotplug.d/iface/65-domain_login (-rw-r--r-- root root);46;no;NA;
/etc/hotplug.d/ip/00-sync (-rwxr-xr-x root root);8;no;NA;
/etc/hotplug.d/mode/00-apsd (-rwxr-xr-x root root);6;no;NA;
/etc/hotplug.d/mode/00-network (-rw-rw-r-- root root);6;no;NA;
/etc/hotplug.d/mode/00-smartip (-rwxrwxr-x root root);1;no;NA;
/etc/hotplug.d/ip/01-domain_login (-rw-r--r-- root root);32;no;NA;
/etc/hotplug.d/mode/00-sync (-rwxr-xr-x root root);2;no;NA;
/etc/hotplug.d/mode/05-iptv (-rwxr-xr-x root root);8;no;NA;
/etc/hotplug.d/mode/10-dns_correct (-rwxrwxr-x root root);15;no;NA;
/etc/hotplug.d/mode/20-dnsproxy (-rwxrwxr-x root root);1;no;NA;
/etc/hotplug.d/mode/20-nrd (-rwxr-xr-x root root);6;no;NA;
/etc/hotplug.d/mode/30-tfaffic-stats (-rwxr-xr-x root root);6;no;NA;
/etc/hotplug.d/mode/50-cloud-reconnect (-rwxrwxr-x root root);3;no;NA;
/etc/hotplug.d/mode/50-miniupnpd (-rw-r--r-- root root);7;no;NA;
/etc/hotplug.d/mode/90-radvd (-rwxr-xr-x root root);4;no;NA;
/etc/hotplug.d/mode/98-sysntpd (-rwxrwxr-x root root);4;no;NA;
/etc/hotplug.d/mode/99-cloud-awn-update (-rwxrwxr-x root root);3;no;NA;
/etc/hotplug.d/mode/99-guest (-rwxr-xr-x root root);1;no;NA;
/etc/hotplug.d/mode/99-ipv6-firewall (-rwxr-xr-x root root);6;no;NA;
/etc/hotplug.d/mode/99-msgcenter (-rwxrwxr-x root root);2;no;NA;
/etc/hotplug.d/mode/99-parental-control (-rwxr-xr-x root root);4;no;NA;
/etc/hotplug.d/mode/99-qos (-rwxr-xr-x root root);5;no;NA;
/etc/hotplug.d/nat/10-nat-dnsproxy (-rw-rw-r-- root root);1;no;NA;
/etc/hotplug.d/net/03-vlanset (-rwxrwxr-x root root);2;no;NA;
/etc/hotplug.d/net/28-mcsd (-rwxr-xr-x root root);1;no;NA;
/etc/init.d/apsd (-rwxr-xr-x root root);8;no;NA;
/etc/init.d/basic_security (-rwxr-xr-x root root);1;no;NA;
/etc/init.d/boot (-rwxrwxr-x root root);1;yes;NA;
/etc/init.d/blacklist (-rwxr-xr-x root root);1;yes;NA;
/etc/init.d/client_mgmt (-rwxrwxr-x root root);1;no;NA;
/etc/init.d/cloud_account (-rwxrwxr-x root root);4;no;NA;
/etc/init.d/conn-indicator (-rwxr-xr-x root root);5;no;NA;
/etc/init.d/ddns (-rwxr-xr-x root root);4;no;NA;
/etc/init.d/dhcp_hook_d (-rwxrwxr-x root root);5;no;NA;
/etc/init.d/dhcp6s (-rwxr-xr-x root root);20;no;NA;
/etc/init.d/done (-rwxrwxr-x root root);2;no;NA;
